zaijian	再见
zailin	再临
zhenshizhilei	真实之泪
wangliangzhixia	魍魉之匣
anyemofashi	暗夜魔法使
caiyunguowu	彩云国物
caiyunguowuyu	彩云国物语
chongzhige	虫之歌
chuban	初瓣
dongjingmorenxueyuanjianfengtie	东京魔人学园剑风帖
fengzhishenghen	风之圣痕
gangtiesanguo	钢铁三国
gangtiesanguozhi	钢铁三国志
gangtieshenjie	钢铁神杰
gangtieshenjieke	钢铁神杰克
guangmingzhilei	光明之泪
guiqi	鬼泣
heizhiqiyue	黑之契约
hunshou	魂兽
jishendazhan	机神大战
jianhaoshengsidou	剑豪生死斗
jiangshijiedai	僵尸借贷
jingsilanghe	京四郎和
jingsilangheyongyuandetiankong	京四郎和永远的天空
jinglingshouhuren	精灵守护人
juxingfangchengshi	巨型方程式
juewang	绝望
junwen	君吻
lanlandaopiao	蓝兰岛漂
lanlandaopiaoliuji	蓝兰岛漂流记
longlong	龙龙
longming	龙鸣
longzhimingyun	龙之命运
mengzhiyingyu	萌之英语
mofashijiedaigongsi	魔法使借贷公司
moren	魔人
qisexinglu	七色星露
shouhutianxin	守护甜心
shuangyuezhiqishi	双月之骑士
taohuayuedan	桃华月惮
tianxiangshaonv	天翔少女
tongrenchuangzuo	同人创作
weinasi	维纳斯
xinyongzhelaiting	新勇者莱汀
xingyunxing	幸运星
xuemeixiangqianchong	学美向前冲
yiqidangqian	一骑当千
yongshengzhijiu	永生之酒
zhandouzhiyi	战斗之翼
zhudaoshaonv	竹刀少女
zuizhongshiyanjingyu	最终试验鲸鱼
laihuzhihuajia	濑户之花嫁
anqilike	安琪莉可
anyediliugan	暗夜第六感
beidasuideshijie	被打碎的世界
bianjingwangzi	边境王子
chongwuxiaojingling	宠物小精灵
dierbu	第二部
gongzhugongzhu	公主公主
guanxingzhe	观星者
hanchanmingqizhishi	寒蝉鸣泣之时
huanyingjiaru	欢迎加入
hunlian	魂链
jiayouselin	家有色邻
jianjiwuyu	键姬物语
jiejieshi	结界师
jinsedeqinxian	金色的琴弦
jintiande	今天的
labixiaoxin	蜡笔小新
limingqiandeliulise	黎明前的琉璃色
lianggongchunrideyouyu	凉宫春日的忧郁
luoyutiannv	落语天女
menghuanpaiming	梦幻排名
mingyunshouhuye	命运守护夜
mofameishaonv	魔法美少女
mofaxiansheng	魔法先生
monvzhiren	魔女之刃
niandaiji	年代记
ningmengtianshijihua	柠檬天使计划
nvshengainvsheng	女生爱女生
pinfajiemeiwuyu	贫乏姐妹物语
qihuanguigongzi	奇幻贵公子
qiyuan	起源
qiangwen	强吻
qumoshaonian	驱魔少年
shaonianyinyangshi	少年阴阳师
shaonvaishang	少女爱上
shaonvaishanglejiejie	少女爱上了姐姐
shouwangxing	兽王星
sishendegeyao	死神的歌谣
suxingzhishi	苏醒之时
womendecunzai	我们的存在
wudikanbanniang	无敌看板娘
wuzuideweinasi	无罪的维纳斯
wuzhuanglianjin	武装炼金
xuezhishaonv	雪之少女
yangwangbanyuedetiankong	仰望半月的天空
yaonimen	妖逆门
yinshourenzhe	阴守忍者
yinyoumoshilu	吟游默示录
yinhetianshi	银河天使
yinglangaoxiao	樱兰高校
yinglangaoxiaonangongguanbu	樱兰高校男公关部
yongzhewang	勇者王
yueguishudewangzimen	月桂树的王子们
zuanshizhenzhupian	钻石珍珠篇
mingjiepian	冥界篇
mingwanghadisi	冥王哈迪斯
binfenzhiyi	缤纷之翼
aertuoliya	阿尔托莉亚
asanjinglianci	阿散井恋次
ailisi	爱丽丝
ailisifeier	爱丽丝菲尔
anyuanjia	安原佳
babaoqi	八宝齐
badaicaicaixiang	八代菜菜香
bashenhema	八神和麻
bashenjifeng	八神疾风
bayiyonglin	八意永琳
bayuncheng	八云橙
bayunlan	八云蓝
bayunzi	八云紫
baihejingliu	白河静流
baihexiaoniao	白河小鸟
baiheying	白河莹
baishiren	白石稔
baitong	柏瞳
baiwei	白尾
baiyeba	柏叶巴
banjingqiancao	阪井千草
banjingyouer	阪井悠二
banmuqingxin	斑目晴信
banwei	斑尾
baoyuqiaohai	鸨羽巧海
baoyuwuyi	鸨羽舞衣
beichuanrun	北川润
beicunyouzuo	北村祐作
beidaluwuyue	北大路五月
benchenglian	本城莲
bolilingmeng	博丽灵梦
bomoquaner	播磨拳儿
cangqichengzi	苍崎橙子
cangqiqingzi	苍崎青子
cangtianzuoyouli	仓田佐祐理
cangxingshi	苍星石
caolubaqianliu	草鹿八千流
chadutaihu	茶渡泰虎
changpangongzi	常盘恭子
chaocangchunyi	朝仓纯一
chaocangliangzi	朝仓凉子
chaocangyinmeng	朝仓音梦
chaowuxiaomu	朝雾小牧
chaowuxiaoxue	朝雾小雪
chimu	赤木
chimulvzi	赤木律子
chisuren	池速人
chitianchuzi	持田雏子
chiyuanwanshi	池原完士
chiyuezhijia	赤月知佳
chumei	雏苺
chusentao	雏森桃
chuanbitaohua	川壁桃花
chuanchengwu	川澄舞
chuandaoyamei	川嶋亚美
chuantianzhuji	川添珠姫
chunribuxiao	春日部咲
chunyuanyayi	春原芽衣
chunyuanyangping	春原阳平
cuixingshi	翠星石
dadaosizhishi	大道寺知世
dadaoyouma	大道楢马
daqinana	大崎娜娜
dashizangren	大石蔵人
dayejianaizi	大野加奈子
daosenguangxiang	稲森光香
niaosiyeyue	鸟饲叶月
dingyuandu	碇元渡
dingzhensi	碇真嗣
dongchengling	东城绫
dongcongli	东聡莉
dongfangyuanxingren	东方院行人
dongshengping	冬胜平
dunyouyi	楯祐一
ergongchuzi	二宫雏子
fangyeyoujie	芳野祐介
feicui	翡翠
feishiba	飞世巴
fenghuazhenbai	风花真白
fengjianjingzi	风间京子
fengjianxiner	风间信二
fengpukefuxiang	风浦可符香
fulanduolu	芙兰朵露
furongfeng	芙蓉枫
fuzhushisilang	浮竹十四郎
gaizaohunpo	改造魂魄
gangqipengye	冈崎朋也
gangqixi	冈崎汐
gangqizhenyi	冈崎真一
gangqizhixing	冈崎直幸
gangqizhu	冈崎渚
gaobanzhenqin	高阪真琴
gaotingnaiye	高町奈叶
gaoliangmeixing	高良美幸
gaomutaishi	高木泰士
gaoyejing	高野晶
gemuzongyilang	葛木宗一郎
gengmujianba	更木剑八
gongqidou	宫崎都
gongtengxinyi	工藤新一
gongzeyoujining	宫沢有纪宁
gongzhongwuyue	弓冢五月
guheqiusheng	古河秋生
guhezaomiao	古河早苗
gukou	谷口
guanyuegefan	观月歌帆
guidaoshaxi	贵岛沙希
guigeng	鬼梗
guixin	桂心
guiyanye	桂言叶
guiyuanjingliu	桧原静流
guiyuanruisheng	桧原瑞生
guogong	郭公
guomutian	国木田
guoqiwangren	国崎往人
henanzi	河南子
hewu	鹤屋
heijingfangzi	黒井方子
heiqixiali	黑崎夏梨
heiqiyixin	黑崎一心
heiqiyouzi	黑崎游子
heitianguang	黑田光
hongmeiling	红美铃
hupo	琥珀
huayuanhualing	花园花铃
hunpoyaomeng	魂魄妖梦
